#id	Meaning	bara1273	cuma1241	nort2686	oldu1238	sout2694	nort2697	bash1264	chuv1255	crim1257	dolg1241	gaga1249	kara1467	kara1465	kara1464	kaza1248	khak1248	khal1270	kirg1245	kumy1244	tuta1234	noga1249	sala1264	west2402	shor1247	kaza1250	tofa1248	nucl1301	turk1304	tuvi1240	uigh1240	uzbe1247	yaku1245	halh1238	buri1258	kalm1244	kalm1243	kham1281	daur1238	east2337	baoa1237	dong1285	minh1238	huzh1238	kang1281	mogh1245	midd1351	nana1257	oroc1248	udih1248	cent2414	kuro1242	biki1239	orok1265	ulch1241	jurc1239	manc1252	xibe1242	even1260	solo1263	even1259	hiss1234	sout3321	ilim1234	ilim1234.2	negi1245	oroq1238	hwan1238	hamg1238	hamg1239	jeju1234	chol1278	kyon1247	chun1247	seou1239	midd1372	nucl1643	oldj1239	nort2935	nort2935.2	sout2954	cent2126	shur1243	ikem1234	yaey1239	hato1238	yona1241	sats1241	kuma1281	haka1241	hach1239
	wing (n.)	ḳanat	hanat	ḳanat	ḳanat	ḳanat	ġanad	ḳanat	śunat	ḳanat	kïnat	kanat	ḳanat	ḳanat	kanat	ḳanat	χanat		ḳanat	ḳanat	ḳanat	ḳanat	ḳanat	ḳanat	ḳanat	ḳanat	hanat	kanat	ġanat		ḳanat	ḳanɔt	kïnat																																																										
	wing (n.)																													čalɣïn																																																													
	wing (n.)																	bå:lbor																																																																									
	meat (n.)																																																																												nikubor											niɂbor	nikubor	nikubor	nikubor
	meat (n.)																																																																													sisi	sisi	sɨsɨɨ	sisi	sii	sisi	sïïsï	sïsï	siisi	ccìci				
	meat (n.)																																																																						sal	sal	salkkeyki	salkoyki	sal																
	meat (n.)																																																																			koki	koki	koki			salkkeyki	salkoyki		kwoki															
	meat (n.)																																																							yali	yali	yəli																																	
	meat (n.)																																															ulsə	uktə	ulə	uliksə	ulə	uləksə	ulisə	ulsə				ulre	uldə	uldə	ullə	uldə	uldə	ullè	ulə	ulə																								
	meat (n.)																																	max	myaxan	maxn	maxan	mikan	ḿagə	maxgan	maga	miɣa	mugha	maxa	maʁa	miqo:n	miqan																																											mi	
	meat (n.)	ĕt	et	et	et	et	ät	it		et	et		et	et	et	et	it	ät	et	et	ät	et	et	yet	et	it	eˁt	et	et	eˁt			et																																																										
	meat (n.)											yaχnïbor																																																																															
	meat (n.)								ašbor																																																																																		
	meat (n.)								kagajbor																																																																																		
	meat (n.)												göšbor																																																																														
	arm / hand (n.)																																																																																								jeda		
	arm / hand (n.)																																																																																							ude		ude	ude
	arm / hand (n.)																																																																												te	te	θï	tɨɨ	tii	tii	tii	tii	tii	tii	thìi	te	te	te	te
	arm / hand (n.)																																																																			son	son	son	son	son	son	son	son	son															
	arm / hand (n.)																																															mayən																																											
	arm / hand (n.)																																															nala	ŋaːla	ŋala	ŋaːla	ŋala	nana	ŋaːla	ŋaːla	gala	gala	gal	ŋaːl	naːl	naːla	ŋaːlə	ŋalə	ŋaːla	ňalè	ŋala	ŋaːla																								
	arm / hand (n.)																																	gar	gar	har	har	gar	gari	gar	xar	qa	ghar	ghari	χar	ɣar	qar																																												
	arm / hand (n.)	ḳol		ḳol	ḳol	ḳol	ġol	ḳul	χul	ḳol		kol	ḳol	ḳol	kol	ḳol	χol	ḳol	ḳol	ḳol	ḳol	ḳol	ḳol	ḳol	ḳol	ḳul	ḳol	kol	ġol	χol	ḳol	ḳọl																																																											
	arm / hand (n.)		el		elig		äl		alə	el	ili:	el						äl					el	elïɣ				el	el				ili:																																																										
	arm / hand (n.)													bilek	bilek																																																																												
	fly (n.)																																																																												hae	pape	hwe	ɂoobai	oobai	pee	hwee	paï	pai	pai	hai	he	hjaː	hai	heːme
	fly (n.)																																																																			phali	phali	phali	pheli	phali	phali	pheli	phali	phol															
	fly (n.)																																						diluwe:bor									ʤinkun			ʤiluəktə	ʤiləkun	diluktə	ʤiːluwə		dərhuə	dərhuwə	durvo	diliken							dirkọːn	dilkəːčəːn																								
	fly (n.)																																																giluwə				giluktə		giːluqtu					gilhọŋ		gilkə																													
	fly (n.)																																																	gobˀo																																									
	fly (n.)																																																												ujmikəːktə																														
	fly (n.)																								padatbor									yalaa	alyaaha		ilə:	ila:	xila:																																																				
	fly (n.)																																		batagana:n	batxn	bathana	batagana																																																					
	fly (n.)																																							dzuunaa	dzina																																																		
	fly (n.)																																								bəsmal																																																		
	fly (n.)																																										ʨimsar	ɕimsəuul	ʃimi																																														
	fly (n.)																																											fedaa																																															
	fly (n.)		čibin			čïmïn		seben		čibin			šïbïn	čibin	cibin	šïbïn			čïmïn	ǰibin		šïbïn	pohčüin	čivin		čeben					čivin											ʂunbun																																																	
	fly (n.)	čergäy									haksïrga																						saχsïrɣa																																																										
	fly (n.)								šəna			sinek					seek										seek	sinek	siŋek	seek																																																													
	fly (n.)			kögen																																																																																							
	fly (n.)				kodɣu													gudɣu																																																																									
	fly (n.)																				maasbor																																																																						
	fly (n.)						milčäkbor																																																																																				
	fly (n.)																															paššabor																																																											
	night (n.)																																																																												yoru	yo	juru	juruu	juru	juruu	juu	juï	juurï	juuru	dùru	joi	josari	josari	joru
	night (n.)																																																																			pam	pam	pam	pam	pam	pam	pam	pam	pam															
	night (n.)																																															dolbu	dobbo	dogbo	dolbo	dolbo	dolbo	dolboni	dolbo	dobori	dobon	döviri	dọlba	dͻlbͻn	dolbo	dolboniː	dolbomi	dolbo	dolboni	dolbon	dɔlbɔ																								
	night (n.)																																	šönö	hüni	sö	sö:	hüni	suni	søønə	sɵni	ɕiəni	suoni	suani	sɯni	sʉni	süni																																												
	night (n.)	tön	tun	tün	tün	tün		tön			tü:n		tün			tün	tün		tün		tün	tün		tün	tün	tön	dünne			düne	tün		tü:n																																																										
	night (n.)						keǰä			geǰe		geǰä		keče	kečä			ki:ečä		geče		keše	geǰe					geǰe	giǰe			keča																																																											
